price,rooms,total_area_m2,floor,address,title,url
10 200 000 ₽289 773 ₽/м²,1,35.2 м²,2/12,Москва,"1-комн. квартира, 35,2 м², 2/12 этаж",https://www.cian.ru/cat.php?id_user=53927433&deal_type=sale&flat=yes&engine_version=2
24 500 000 ₽555 556 ₽/м²,2,44.1 м²,25/55,Москва,"2-комн. квартира, 44,1 м², 25/55 этаж",https://www.cian.ru/cat.php?id_user=82693587&deal_type=sale&flat=yes&engine_version=2
11 600 000 ₽362 500 ₽/м²,1,32 м²,6/9,Москва,"1-комн. квартира, 32 м², 6/9 этаж",https://www.cian.ru/cat.php?id_user=17383766&deal_type=sale&flat=yes&engine_version=2
20 999 000 ₽256 085 ₽/м²,3,82 м²,1/5,Москва,"3-комн. кв., 82 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
11 300 000 ₽255 079 ₽/м²,2,44.3 м²,6/9,Москва,"2-комн. квартира, 44,3 м², 6/9 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
21 490 000 ₽539 950 ₽/м²,1,39.8 м²,3/30,Москва,"1-комн. квартира, 39,8 м², 3/30 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
14 700 000 ₽432 353 ₽/м²,2,34 м²,9/9,Москва,"2-комн. квартира, 34 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=51623189&deal_type=sale&flat=yes&engine_version=2
16 500 000 ₽232 722 ₽/м²,3,70.9 м²,1/14,Москва,"3-комн. квартира, 70,9 м², 1/14 этаж",https://www.cian.ru/cat.php?id_user=56222271&deal_type=sale&flat=yes&engine_version=2
10 500 000 ₽381 818 ₽/м²,1,27.5 м²,6/12,Москва,"1-комн. квартира, 27,5 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
22 100 000 ₽350 794 ₽/м²,3,63 м²,14/14,Москва,"3-комн. квартира, 63 м², 14/14 этаж",https://www.cian.ru/cat.php?id_user=17950754&deal_type=sale&flat=yes&engine_version=2
6 465 000 ₽185 244 ₽/м²,1,16 м²,2/3,Москва,"1-комн. квартира, 34,9 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=87162081&deal_type=sale&flat=yes&engine_version=2
22 500 000 ₽357 143 ₽/м²,2,63 м²,6/23,Москва,"2-комн. квартира, 63 м², 6/23 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
6 650 000 ₽182 192 ₽/м²,1,6 м²,2/3,Москва,"1-комн. квартира, 36,5 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=87162081&deal_type=sale&flat=yes&engine_version=2
16 400 000 ₽380 510 ₽/м²,1,43.1 м²,24/28,Москва,"1-комн. квартира, 43,1 м², 24/28 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
10 600 000 ₽286 486 ₽/м²,1,37 м²,3/17,Москва,"1-комн. апартаменты, 37 м², 3/17 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
15 800 000 ₽371 765 ₽/м²,1,42.5 м²,2/28,Москва,"1-комн. квартира, 42,5 м², 2/28 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
12 750 000 ₽354 167 ₽/м²,1,36 м²,8/10,Москва,"1-комн. квартира, 36 м², 8/10 этаж",https://www.cian.ru/cat.php?id_user=56876478&deal_type=sale&flat=yes&engine_version=2
13 400 000 ₽230 241 ₽/м²,3,58.2 м²,4/9,Москва,"3-комн. квартира, 58,2 м², 4/9 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
14 650 000 ₽332 955 ₽/м²,2,44 м²,16/16,Москва,"2-комн. квартира, 44 м², 16/16 этаж",https://www.cian.ru/cat.php?id_user=12284317&deal_type=sale&flat=yes&engine_version=2
17 300 000 ₽293 718 ₽/м²,3,58.9 м²,9/10,Москва,"3-комн. квартира, 58,9 м², 9/10 этаж",https://www.cian.ru/cat.php?id_user=78134362&deal_type=sale&flat=yes&engine_version=2
14 999 000 ₽288 442 ₽/м²,2,52 м²,4/12,Москва,"2-комн. квартира, 52 м², 4/12 этаж",https://www.cian.ru/cat.php?id_user=107641596&deal_type=sale&flat=yes&engine_version=2
20 400 000 ₽477 752 ₽/м²,2,42.7 м²,20/33,Москва,"2-комн. квартира, 42,7 м², 20/33 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
